1485	BELOW OR UNDER	
2457	PATH OR ROAD	PATH // ROAD
262	HE OR SHE OR IT	HE // SHE // IT
680	BREAK (DESTROY OR GET DESTROYED)	BREAK (CLEAVE) // BREAK (BREAKING)
2108	RAINING OR RAIN	RAIN (PRECIPITATION) // RAIN (RAINING)
2615	FLESH OR MEAT	FLESH // MEAT
2101	BE DEAD OR DIE	DEAD // DIE
2098	FOOT OR LEG	FOOT // LEG
2139	MUROID (MOUSE OR RAT)	MOUSE // RAT
2575	DO OR MAKE	DO // MAKE
2642	HE OR SHE	HE // SHE
2133	STRIKE OR BEAT	BEAT // HIT
2279	NO OR NOT	NO // NOT
2458	PERSPIRE OR SWEAT	SWEAT (PERSPIRE) // SWEAT (SUBSTANCE)
2118	MOUNTAIN OR HILL	MOUNTAIN // HILL
1811	SOUND OR NOISE	NOISE // SOUND (OF INSTRUMENT OR VOICE)
3456	CRAWL OR CREEP	CREEP // CRAWL
2103	PAINFUL OR SICK	PAINFUL // SICK
3447	BEGIN OR START	BEGIN // START
2132	SICKLE OR SCYTHE	SICKLE // SCYTHE
2125	STONE OR ROCK	STONE // ROCK
2272	HOT OR WARM	HOT // WARM
2144	SPRING OR WELL	SPRING (OF WATER) // WELL
1095	LET GO OR SET FREE	
3294	BRAID (VERB) OR WEAVE (BASKET)	298	BRAID (VERB) // WEAVE (BASKET)
3889	CUT OR HACK	CUT // HACK
3223	BRANCH OR TWIG	BRANCH // TWIG
2146	ROAST OR FRY	ROAST (SOMETHING) // FRY
3448	SIEVE OR STRAIN	SIEVE // STRAIN
1896	FINGERNAIL OR TOENAIL	284 
2131	TORCH OR LAMP	279 
2136	BRASS INSTRUMENT (HORN OR TRUMPET)	HORN (INSTRUMENT) // TRUMPET
3184	BE ALIVE OR LIFE	BE ALIFE // LIFE
3188	MIGHTY OR POWERFUL OR STRONG	POWERFUL // STRONG
2121	ARM OR HAND	ARM // HAND
3183	BREATH OR BREATHE	BREAHE // BREATH
2455	DREAMING OR DREAM	DREAMING // DREAM
3208	CENTER OR MIDDLE	CENTER // MIDDLE
2135	TRADE OR BARTER	TRADE // BARTER
3195	DAMAGE OR INJURE	DAMAGE // INJURE
2094	DOWN OR BELOW	DOWN // BELOW OR UNDER
3457	HEADBAND OR HEADDRESS	HEADBAND // HEADDRESS
3855	ITCH (CAUSE ITCHING OR FEEL ITCHY)	
3203	CANNON OR GUN	CANNON // GUN
3201	HINDER OR PREVENT	HINDER // PREVENT
3237	ALLOW OR PERMIT	ALLOW // PERMIT
2100	THATCH OR ROOF	THATCH // ROOF
3764	BAD OR EVIL	BAD // EVIL
3805	SHY OR ASHAMED	SHY // ASHAMED
3198	NOTHING OR ZERO	NOTHING // ZERO
3182	MARRIAGE OR WEDDING	MARRIAGE // WEDDING
3192	BRONZE OR COPPER	BRONZE // COPPER
2879	SOUND (OF INSTRUMENT OR VOICE)	
3217	TIN OR TINPLATE	TIN (METAL) // TINPLATE
2683	EAGLE OR HAWK	EAGLE // HAWK
3213	HIRE OR RENT	HIRE // RENT (SOMETHING)
3206	ELF OR FAIRY	FAIRY // ELF
2157	FINE OR THIN	
2128	CLAW OR NAIL	CLAW // FINGERNAIL
3603	EARTH OR LAND	EARTH (SOIL) // LAND
2097	NOW OR TODAY	NOW // TODAY
3462	FLAX OR LINEN	FLAX // LINEN
3856	ITCH OR ITCHY OR ITCHING	ITCH // ITCHY // ITCH (CAUSE ITCHING OR FEEL ITCHY)
